date,equity,daily_return,position_shares,entry_price,stop_price,strategy_realized_vol,leverage_mult_today
2023-10-12,5041394271.680984,0.0,0.0,,,0.5179425451185863,1.0
2023-10-13,5041394271.680984,0.0,0.0,,,0.5094180359381101,1.0
2023-10-16,5041394271.680984,0.0,0.0,,,0.507736539420567,1.0
2023-10-17,5041394271.680984,0.0,0.0,,,0.49582063835202367,1.0
2023-10-18,5041394271.680984,0.0,0.0,,,0.4952960040128674,1.0
2023-10-19,5041394271.680984,0.0,0.0,,,0.48495637073351133,1.0
2023-10-20,5041394271.680984,0.0,0.0,,,0.48542682052070174,1.0
2023-10-23,5041394271.680984,0.0,0.0,,,0.47076733676028726,1.0
2023-10-24,5041394271.680984,0.0,0.0,,,0.47141315881187656,1.0
2023-10-25,5041394271.680984,0.0,0.0,,,0.4611463794185681,1.0
2023-10-26,5041394271.680984,0.0,0.0,,,0.4605511928596627,1.0
2023-10-27,5041394271.680984,0.0,0.0,,,0.44842997182624483,1.0
2023-10-30,5041394271.680984,0.0,0.0,,,0.44876785116543527,1.0
2023-10-31,5042728911.480226,0.00026473624702183507,5402014.0,132.763275,178.74584259940744,0.4341065978563153,1.0
2023-11-01,5288686578.821125,0.048774715369084065,0.0,,,0.43426855821811844,1.0
2023-11-02,5284108403.6821785,-0.0008656544627319018,6046927.0,138.74386872711182,178.74584259940744,0.436301591324165,1.0
2023-11-03,5529315670.963827,0.04640466253697184,0.0,,,0.4359840664670388,1.0
2023-11-06,5535484442.79957,0.0011156483374854531,6987175.0,138.7738705062866,178.74584259940744,0.43559987087832663,1.0
2023-11-07,5807150877.68016,0.04907726463470907,0.0,,,0.43560187740240397,1.0
2023-11-08,5799548170.142448,-0.0013091975217885965,7678828.0,142.9842982208252,178.74584259940744,0.43544102471879975,1.0
2023-11-09,6080138146.224807,0.04838135107264163,0.0,,,0.435066067193538,1.0
2023-11-10,6106100287.56359,0.004269992015708324,8649260.0,140.47405271453857,178.74584259940744,0.43306892618592085,1.0
2023-11-13,6409349688.915862,0.04966335092299512,0.0,,,0.4320559829653548,1.0
2023-11-14,6415795692.352477,0.001005718793555932,9228426.0,145.0145,178.74584259940744,0.4279875642317942,1.0
2023-11-15,6718679353.651537,0.04720905649475271,0.0,,,0.4280192444170031,1.0
2023-11-16,6735202040.72884,0.0024592164929440052,9071657.0,140.9240946624756,178.74584259940744,0.4222975572876975,1.0
2023-11-17,7059883261.655244,0.04820660448832936,0.0,,,0.42214232823959513,1.0
